2024-06-13 15:20:38,120 Starting bot
2024-06-13 15:20:41,659 Starting threads
2024-06-13 15:20:41,663 Starting main loop
2024-06-13 15:20:41,663 Game region: (0, 0, 1616, 939)
2024-06-13 15:20:46,975 Detected game mode/map None 
2024-06-13 15:20:52,843 Detected game mode/map 4 SAHA
2024-06-13 15:21:16,300 Moving to hill: (880, 609)
2024-06-13 15:21:16,416 Attacking (945, 501) of distance 71.44928271158501 away
2024-06-13 15:21:16,665 Attacking (818, 495) of distance 79.64923100695951 away
2024-06-13 15:21:16,801 Moving to hill: (785, 594)
2024-06-13 15:21:16,928 Attacking (733, 438) of distance 107.20074626605917 away
2024-06-13 15:21:17,178 Attacking (715, 451) of distance 125.7179382586272 away
2024-06-13 15:21:17,283 Moving randomly
2024-06-13 15:21:17,381 Attacking (789, 448) of distance 151.34728276384746 away
2024-06-13 15:21:17,611 Moving to hill: (812, 471)
2024-06-13 15:21:17,616 Attacking (824, 441) of distance 145.60219778561037 away
2024-06-13 15:21:17,834 Attacking (843, 443) of distance 43.600458713183286 away
2024-06-13 15:21:18,035 Attacking (846, 441) of distance 47.20169488482378 away
2024-06-13 15:21:18,132 Moving to hill: (824, 473)
2024-06-13 15:21:18,237 Attacking (853, 434) of distance 57.0087712549569 away
2024-06-13 15:21:18,437 Attacking (876, 411) of distance 89.37561188601731 away
2024-06-13 15:21:18,546 Moving to hill: (825, 474)
2024-06-13 15:21:18,655 Attacking (868, 383) of distance 104.86181383134662 away
2024-06-13 15:21:18,874 Attacking (843, 377) of distance 98.43271813782245 away
2024-06-13 15:21:18,992 Moving randomly
2024-06-13 15:21:19,091 Attacking (820, 377) of distance 92.77930803794561 away
2024-06-13 15:21:19,311 Attacking (832, 370) of distance 101.86756107809788 away
2024-06-13 15:21:19,405 Moving to hill: (825, 474)
2024-06-13 15:21:19,513 Attacking (800, 384) of distance 85.37564055396598 away
2024-06-13 15:21:19,731 Attacking (848, 383) of distance 94.847245611035 away
2024-06-13 15:21:19,840 Moving to hill: (825, 474)
2024-06-13 15:21:19,948 Attacking (861, 372) of distance 110.5350623105628 away
2024-06-13 15:21:20,150 Attacking (864, 372) of distance 112.00446419674529 away
2024-06-13 15:21:20,259 Moving to hill: (825, 474)
2024-06-13 15:21:20,366 Attacking (851, 386) of distance 93.47726996441435 away
2024-06-13 15:21:20,584 Attacking (811, 414) of distance 55.08175741568164 away
2024-06-13 15:21:20,710 Moving to hill: (825, 474)
2024-06-13 15:21:20,817 Attacking (828, 437) of distance 37.73592452822641 away
2024-06-13 15:21:21,031 Attacking (836, 447) of distance 35.60898762952971 away
2024-06-13 15:21:21,143 Moving to hill: (825, 474)
2024-06-13 15:21:21,249 Attacking (825, 445) of distance 29.410882339705484 away
2024-06-13 15:21:21,452 Attacking (825, 439) of distance 34.48187929913334 away
2024-06-13 15:21:21,548 Moving to hill: (825, 474)
2024-06-13 15:21:21,651 Attacking (834, 439) of distance 39.698866482558415 away
2024-06-13 15:21:21,856 Attacking (767, 437) of distance 52.009614495783374 away
2024-06-13 15:21:21,982 Moving to hill: (825, 474)
2024-06-13 15:21:22,089 Attacking (840, 430) of distance 50.44799302251775 away
2024-06-13 15:21:22,309 Attacking (861, 422) of distance 70.83784299369935 away
2024-06-13 15:21:22,409 Moving to hill: (825, 474)
2024-06-13 15:21:22,510 Attacking (869, 481) of distance 62.169124169478216 away
2024-06-13 15:21:22,743 Attacking (840, 481) of distance 34.17601498127012 away
2024-06-13 15:21:22,845 Moving to hill: (825, 474)
2024-06-13 15:21:22,946 Attacking (788, 432) of distance 42.05948168962618 away
2024-06-13 15:21:23,162 Attacking (785, 426) of distance 48.76474136094643 away
2024-06-13 15:21:23,252 Moving toward ally at (1445, 441)
2024-06-13 15:21:23,364 Attacking (792, 415) of distance 56.32051136131489 away
2024-06-13 15:21:23,582 Attacking (801, 445) of distance 25.0 away
2024-06-13 15:21:23,688 Moving to hill: (825, 474)
2024-06-13 15:21:23,799 Attacking (827, 449) of distance 27.58622844826744 away
2024-06-13 15:21:24,000 Attacking (871, 405) of distance 89.80534505250787 away
2024-06-13 15:21:24,127 Moving to hill: (825, 474)
2024-06-13 15:21:24,235 Attacking (879, 424) of distance 84.05950273467005 away
2024-06-13 15:21:24,438 Attacking (847, 434) of distance 52.4022900262956 away
2024-06-13 15:21:24,548 Moving to hill: (825, 474)
2024-06-13 15:21:24,652 Attacking (876, 433) of distance 76.94153624668537 away
2024-06-13 15:21:24,886 Attacking (882, 431) of distance 83.18653737234168 away
2024-06-13 15:21:24,985 Moving to hill: (825, 474)
2024-06-13 15:21:25,088 Attacking (887, 428) of distance 89.00561780022653 away
2024-06-13 15:21:25,277 Attacking (837, 415) of distance 61.29437168288782 away
2024-06-13 15:21:25,405 Moving to hill: (893, 531)
2024-06-13 15:21:25,509 Attacking (824, 420) of distance 51.54609587543949 away
2024-06-13 15:21:25,728 Attacking (24, 172) of distance 924.2088508556927 away
2024-06-13 15:21:25,798 Moving toward ally at (123, 204)
2024-06-13 15:21:25,837 Attacking (21, 183) of distance 938.3187091814807 away
2024-06-13 15:21:26,198 Moving toward ally at (468, 234)
2024-06-13 15:21:26,255 Attacking (19, 228) of distance 930.1252603816328 away
2024-06-13 15:21:26,366 Attacking (40, 225) of distance 913.9857766945828 away
2024-06-13 15:21:26,472 Attacking (45, 225) of distance 911.3824663663439 away
2024-06-13 15:21:26,582 Attacking (54, 226) of distance 906.6449139547411 away
2024-06-13 15:21:26,593 Moving toward ally at (468, 227)
2024-06-13 15:21:26,691 Attacking (58, 228) of distance 902.8981116382955 away
2024-06-13 15:21:26,801 Attacking (77, 232) of distance 884.2725824088408 away
2024-06-13 15:21:26,907 Attacking (67, 234) of distance 894.9061403298114 away
2024-06-13 15:21:26,992 Moving toward ally at (445, 240)
2024-06-13 15:21:27,017 Attacking (69, 238) of distance 891.9310511468921 away
2024-06-13 15:21:27,127 Attacking (87, 241) of distance 873.5382075215715 away
2024-06-13 15:21:27,237 Attacking (154, 121) of distance 854.3213681045324 away
2024-06-13 15:21:27,344 Attacking (168, 121) of distance 841.2716564820189 away
2024-06-13 15:21:27,385 Moving toward ally at (416, 265)
2024-06-13 15:21:27,776 Moving toward ally at (383, 294)
2024-06-13 15:21:28,179 Moving to hill: (104, 387)
2024-06-13 15:21:28,330 Attacking (136, 309) of distance 828.7943049997388 away
2024-06-13 15:21:28,438 Attacking (137, 320) of distance 825.8674227743822 away
2024-06-13 15:21:28,548 Attacking (125, 343) of distance 831.7030720154879 away
2024-06-13 15:21:28,569 Moving toward ally at (259, 350)
2024-06-13 15:21:28,657 Attacking (119, 353) of distance 828.4841579656186 away
2024-06-13 15:21:28,762 Attacking (116, 372) of distance 825.960047459924 away
2024-06-13 15:21:28,872 Attacking (123, 387) of distance 813.4494452638098 away
2024-06-13 15:21:28,971 Moving toward ally at (211, 388)
2024-06-13 15:21:28,982 Attacking (136, 396) of distance 798.6438505366456 away
2024-06-13 15:21:29,089 Attacking (145, 398) of distance 787.6001523615902 away
2024-06-13 15:21:29,198 Attacking (148, 399) of distance 784.5100381766954 away
2024-06-13 15:21:29,308 Attacking (155, 411) of distance 775.4437439298869 away
2024-06-13 15:21:29,360 Moving to hill: (138, 499)
2024-06-13 15:21:29,418 Attacking (159, 423) of distance 770.4187173219507 away
